,0,1,2,3,4,5,6,7,8,9
0,1468,698,507,2343,664,2059,1332,1144,665,535
1,7251,616,4658,1591,1224,3,1301,1429,410,302
2,123,5153,2577,3428,196,1204,1447,118,681,570
3,713,1327,2631,3518,584,1006,651,841,101,986
4,415,597,2357,2472,548,566,1426,1273,91,616
5,85,2487,2173,1056,1586,1945,429,960,240,76
6,7860,2237,1071,288,1248,1072,1227,494,1019,537
7,2049,1639,4033,2466,2955,766,1515,344,773,574
8,1142,4270,30,2641,1015,1283,439,954,671,221
9,2984,4696,1335,482,308,870,1571,1432,854,786
10,7798,2285,3018,1521,1707,538,1076,1444,467,524
11,5794,5151,735,1774,2724,2379,8,1473,687,168
12,5267,2165,3827,3888,870,504,303,931,274,460
13,1026,1905,1192,1867,618,660,1774,499,910,436
14,2169,3565,3642,1995,2434,1210,1133,1200,234,320
15,3040,1192,2992,485,1527,1026,533,684,1058,97
16,552,2305,1828,2538,51,1698,954,922,774,338
17,1787,3920,4851,3733,1190,266,1121,571,506,510
18,1965,2623,1841,2797,274,19,1666,565,809,76
19,5998,1606,861,208,66,1105,598,151,515,169
20,293,4478,3497,1584,1823,1514,1983,1284,117,210
21,6356,5875,1461,1981,470,683,471,132,796,315
22,2699,5010,4026,2029,344,1891,1295,955,494,738
23,2438,1454,3014,2005,3042,710,839,28,678,41
24,225,2025,1772,305,2659,1810,624,308,1119,700
25,1510,2795,4485,713,732,1203,1484,246,393,138
26,609,2627,2164,1510,2040,765,294,1371,626,863
27,5829,256,3784,2689,2193,1351,109,1363,658,176
28,7203,4277,470,621,929,2298,938,181,420,991
29,1699,4786,1403,270,318,285,900,914,1070,422
30,7861,1794,4453,2892,2265,1522,24,554,1201,376
31,1932,4977,1102,3698,2802,909,1896,900,324,518
32,7482,412,3125,3012,2713,1378,669,1253,383,848
33,6878,2434,3296,3144,3098,1511,1558,741,176,798
34,839,4608,968,556,943,2395,1436,441,112,70
35,5629,1803,1630,1674,2816,1441,1917,795,389,63
36,6806,1631,1946,838,899,1196,768,337,430,793
37,1433,4459,4794,2725,1502,2134,754,661,70,327
38,4093,1535,3549,786,28,573,1964,1029,166,230
39,3046,511,558,1156,2973,1056,93,1278,125,329
40,6178,2229,1848,1660,908,561,1845,1349,661,34
41,5601,1107,3655,3359,3140,962,1239,481,1190,289
42,1550,1458,3649,1936,2092,1188,185,1501,1085,82
43,1318,513,1381,239,234,1084,832,395,330,949
44,6850,423,4765,652,3066,539,1290,866,42,646
45,1733,581,1576,605,3124,1527,1963,1028,928,23
46,7354,5239,2268,1971,2848,1788,193,1074,133,682
47,5751,2930,4972,2927,1567,1371,1039,259,1085,238
48,4413,3420,2199,159,1453,1207,327,1212,424,752
49,3505,3270,3672,2449,1150,927,1646,1193,464,870
50,3981,1342,2324,1062,706,2179,1935,1045,259,419
51,361,1279,4292,3903,1143,723,466,371,533,660
52,600,5039,3160,1714,2764,950,1975,1530,219,617
53,7663,5056,2353,1362,2034,2348,1118,822,501,430
54,1251,1387,3413,737,1556,1739,1676,1090,1143,42
55,309,2702,394,2584,1698,2425,978,717,702,244
56,3102,426,150,2882,1487,1546,1515,767,858,876
57,279,5221,4691,1540,2462,2434,261,1269,584,617
58,3920,2113,753,226,505,1495,1399,1075,1171,115
59,278,3834,3667,1038,2061,1362,1157,34,7,488
60,45,4538,1856,3296,1435,541,508,280,316,86
61,5953,1227,4639,538,618,2488,1801,269,1003,582
