,0,1,2,3,4,5,6,7,8,9
0,903,4354,913,2527,2072,453,502,494,746,915
1,2275,1814,591,29,1127,723,1505,7,887,539
2,2119,247,4244,3724,249,1051,1701,1270,1015,290
3,7100,2922,2019,2129,505,482,1363,67,555,302
4,5935,3056,3063,3347,775,1036,729,627,132,299
5,887,2691,3960,539,1785,2167,1480,300,914,787
6,3757,2754,3835,541,2421,2262,870,475,118,273
7,5232,1390,4655,38,2599,2340,1788,422,253,662
8,3889,4389,3334,2003,649,1908,568,53,448,995
9,1286,5707,2401,1857,1708,1536,145,1557,995,703
10,2023,1023,3436,2846,957,846,1479,1221,1113,174
11,4790,1702,3034,15,1639,1435,1843,679,530,359
12,4753,3973,3299,826,1135,2119,873,458,1135,780
13,4387,3409,4608,3771,1296,783,1797,1232,513,558
14,1160,3569,3376,1178,1301,1713,1434,1033,877,842
15,3257,3392,2236,1654,689,2200,1275,1493,940,772
16,4939,959,655,1860,3083,1837,411,1291,894,319
17,4009,588,1085,1194,373,2168,280,306,865,73
18,4727,4599,4148,1703,2171,101,1541,354,231,691
19,4543,3023,4269,3637,1043,1222,842,569,71,115
20,2030,1761,4744,1106,1586,298,1224,443,109,526
21,412,5958,4788,809,1862,2228,257,1113,443,553
22,656,106,44,822,2417,1441,1053,635,28,945
23,65,2836,4040,397,259,845,1832,1106,430,158
24,2192,821,1569,1718,2855,1444,686,210,204,344
25,6684,4737,1774,2500,2595,679,803,1079,597,902
26,7235,3630,3702,335,1388,2242,945,1371,86,620
27,2651,4890,24,2166,44,644,1451,141,511,966
28,7275,2406,450,566,2356,807,354,998,697,881
29,1140,123,2168,2984,2689,571,489,1498,774,811
30,1740,530,4808,1258,511,1028,1066,1220,186,653
31,162,941,853,3176,775,588,1225,198,476,501
32,3814,143,2140,2959,1900,100,1691,1296,318,464
33,1771,1753,1762,126,2809,1856,1916,523,1247,818
34,7538,2688,2617,2220,1713,1790,1813,843,16,697
35,1563,301,4636,806,1739,1464,438,184,1059,311
36,6138,4854,2485,3466,1102,383,917,205,426,849
37,1809,2819,3772,3787,1675,1781,1090,93,629,172
38,1392,5167,1591,1508,1546,2013,1049,145,607,827
39,1714,6274,3288,1747,71,2167,199,832,431,283
40,145,2253,1821,959,1701,1494,772,981,268,829
41,3848,3837,1678,3292,102,1996,1832,25,1094,653
42,3827,1852,505,1098,1701,1510,491,201,1116,246
43,241,5302,3542,1741,1272,1990,1973,948,1218,554
44,419,762,2867,1642,538,1506,1991,587,856,688
45,4992,943,1821,1184,2250,2213,1577,1395,11,652
46,7524,343,2704,1167,558,714,1469,1316,1104,531
47,1980,2382,128,3013,2234,946,1223,1055,352,521
48,1337,45,3440,1898,335,1539,140,747,805,176
49,4441,3262,3548,161,1411,504,399,844,61,71
50,1568,1089,2159,2849,1595,1087,560,144,631,643
51,3956,1830,2391,2629,414,858,1516,999,640,190
52,1620,5393,2896,1656,2308,1215,130,161,576,205
53,5627,905,2283,1056,1243,2175,381,1103,250,298
54,751,1922,2976,2525,3143,702,338,150,837,21
55,67,5334,938,3352,2555,1802,444,123,1092,13
56,13,4686,105,3232,3127,3,925,405,1176,693
57,1620,2560,1389,1189,2008,922,1682,94,831,470
58,7115,3663,1719,1353,1107,1483,1673,666,208,330
59,2425,32,4864,677,132,629,641,1058,1121,927
60,1837,5061,2175,2319,2337,102,145,1222,979,515
61,5526,3939,2725,1862,1256,541,456,713,207,946
62,2014,5376,3139,3938,38,2015,382,844,813,272
63,173,1972,1221,1788,3013,296,1451,501,1126,448
64,5222,276,1606,1626,2701,1162,15,354,291,160
65,3300,1454,4660,1953,1161,1025,1060,831,1254,455
66,4991,4393,1969,3122,127,2475,1938,1180,46,3
67,5897,6210,3725,3665,1613,969,1849,858,1179,502
68,4495,1544,4118,3100,58,1655,1730,1310,866,628
69,3701,1072,4911,218,3076,129,1209,206,1086,803
70,380,3045,4058,1994,1559,1259,1918,291,1030,69
71,1493,4956,4241,45,2566,250,699,159,131,425
72,816,5607,4989,3545,1221,725,61,170,975,64
73,3224,5742,4035,2092,2588,1958,1677,239,867,131
74,678,4899,3656,1759,2310,1537,66,720,804,120
75,2306,2465,3995,3097,1578,781,107,299,519,720
76,721,5601,2602,1837,1227,2192,395,214,13,914
77,7305,1806,3270,2605,962,235,591,510,146,41
78,4434,3839,787,2511,267,1559,1017,1422,733,635
79,485,3303,2581,2690,1325,856,1815,1112,101,130
80,450,2840,1551,1575,1361,373,373,1571,1098,53
81,2291,3437,4442,1788,2969,1837,1474,22,141,494
82,445,1723,1295,743,2547,1868,758,249,387,610
83,3436,1891,4525,3387,2443,759,307,1249,1015,832
84,2638,4618,1870,1592,3018,859,789,1565,470,484
85,4564,603,3468,2887,12,2103,110,559,829,458
86,5501,1329,4492,348,643,740,1759,1457,178,592
87,6159,1450,1629,2188,1429,1421,288,1309,884,38
88,5111,1275,4505,942,3103,2316,246,1412,831,218
89,881,1023,2503,878,474,513,329,719,871,872
90,48,49,4142,1385,1243,735,1146,498,341,353
91,1136,3898,2599,2362,2650,1820,221,1569,616,0
